year,award,tier,title,author,organization,link,broken,image,alt,comment
2024,passion,winner,Here's to the Next 100 Sudokus,<a href=https://vivrao9.github.io/>Vivek Rao</a>,,https://vivrao9.github.io/nyt-sudoku/,,sudoku.jpg,a matrix grid chart with text,Tk stuff here.
2024,passion,winner,Votes in a Name,<a href=https://diagramchasing.fun/>Aman Bhargava</a>,,https://diagramchasing.fun/2024/votes-in-a-name,,vote.jpg,a crowd of people with a text overlay,"This story about name similarity and confusion while voting in Indian elections works well because of balance. It is a thorough exploration, yet holds the hand of someone unfamiliar with Indian politics. It has a nice blend of specific examples and expansive data. It is a visually pleasing experience that hits the right aesthetic tone for the topic.<span class=judge>—Russell Samora</span>"
2024,passion,winner,Battle of the Chocolate Bars,Surbhi Bhatia,,https://surbhi-bh.github.io/chocolate-wars/,,chocolate.jpg,a bar chart of chocolate bars,"You may have heard that food is better in Europe, compared to the US. This is especially the case for chocolate. We really liked how this project broke down the differences between European and American chocolate standards, annotating ingredient lists and incorporating chocolate imagery into all of the charts. Moreover, readability wasn't lost when chocolate was used in the graphics, which often happens when deviating from typical chart shapes. <span class=judge>—Matt Daniels<span>"
2023,passion,winner,Since When Does Vogue Hate Text?,<a href=https://jessvoiture.github.io/home/>Jess Carr</a>,,https://mag-text.vercel.app/,,magtext.jpg,a strip chart showing the average text on a vogue magazine cover from 2000 (on the left) to 2022 (on the right). the percentages are on the x axis. more recent covers have less text than older covers. this is illustrated by an april 2011 with 25% text coverage featuring rhianna compared to a may 2022 cover featuring rhianna with 6% text coverage.,"I don't read Vogue. I don't remember the last time I even looked at a cover to be honest. Yet, I was instantly captivated by the story. From the jump, the premise and approach were clear and concise. All of the charts presented the right amount of information and stepped through at a very accessible pace. It felt like the author was sharing their journey as they discovered this trend. I knew it was a good piece when I was in the grocery store the next day evaluating the covers on the stand in the checkout aisle. It selfishly left me wanting a tiny bit more; what do the Vogue designers have to say about it, and did other competing magazines follow a similar trend? Maybe a part two is in order... <span class=judge>—Russell Samora</span>"
2023,passion,winner,Pavement 1933–2023,<a href=https://www.deniselu.com/>Denise Lu</a>,,https://www.deniselu.com/sandbox/pavement-1933-2023/,,pavement.jpg,"a dot plot of the setlist from every pavement show in the last 2 years. each dot represents a song. the songs are stacked ontop of each other from the opener on top to the closer or last song on the bottom. the shows are displayed horizontally. the songs in the base set are colored yellow, the songs in the encore are blue, and the closing songs are green. the dots corrsponding to the song ""stereo"" are connected with a line. out of 77 shows, it has mostly been played int he base set, and only played 8 times in the encore.","If there’s one thing I love, it’s a data story that manages to take a niche interest (or, according to the author, “an obsession at best” — I know that life well) and turn it into a universally interesting narrative. It is awesome how this piece seamlessly intertwined personal anecdotes of seeing Pavement a bagillion times, data about the band’s reunion tours in general, and viz into an experience that relayed both the history and the chaos (66 songs and 77 shows?!). But, notably, the precise data work that went into parsing decades of setlists and an equally massive discography was seriously impressive — and it was all layered with a design that matched the tone of the project, too. 11/10. <span class=judge>—Caitlyn Ralph</span>"
2023,passion,honorable mention,Trading the Fragile,<a href=https://charlotteeckstein.com/>Charlotte Eckstein</a> & <a href=https://twitter.com/PaulBouisset1>Paul Bouisset</a>,,https://tradingthefragile.com/,,,,
2023,passion,honorable mention,Decoding Everything Everywhere All At Once,<a href=https://www.angelicahom.com/>Angelica Hom</a>,,https://www.decodingeeaao.com/,,,,
2023,passion,honorable mention,The Matrix Arcade,<a href=https://yizhe-ang.github.io/>Yi Zhe Ang</a>,,https://yizhe-ang.github.io/matrix-explorable/,,,,
2023,passion,honorable mention,Atlas of Intangibles,<a href=https://priti.is/>Priti Pandurangan</a> & <a href=https://ajith.is/>Ajith Ranka</a>,,https://atlasofintangibles.com/,,,,
2023,passion,honorable mention,I Want a Better Catastrophe,"<a href=https://bettercatastrophe.com/>Andrew Boyd</a>, <a href=https://jona.im/>Jona Pomerance</a>, & <a href=https://mariandoerk.de/>Marian Dörk</a>",,https://flowchart.bettercatastrophe.com/,,,,
2023,passion,honorable mention,Infinity,<a href=https://twitter.com/DeaBankova>Dea Bankova</a>,,https://maths-infinity.netlify.app/,,,,
